類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
199902,-0.4,-0.3,-0.4,-0.2,-0.3,-0.4,-0.6,-3.6,0.1,0.1,-1.1,-1.8,0.2,1.2,-4.7,-7.3,-0.5,-0.5,-0.3,0.2,0.2,0.4,-0.1,0.0,-0.1,0.0,-0.1,-0.1,-0.1,-0.2,0.0,-0.4,-0.3,0.0,-0.3,-0.6,-0.2,-0.3,-0.1,0.0,0.0,-2.4,-3.7,0.3,-4.3,-2.4,-3.2,-0.4,-0.2,0.1,-0.1,0.0,0.0,-0.2,0.0,-0.1,-0.3,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,0.0,0.0,-0.1,-0.1,0.0,0.0,-0.4,0.0,0.0,-0.2,0.0,-0.1,
199903,0.1,0.3,0.0,0.3,0.4,0.4,-0.5,-2.8,0.0,-0.1,0.6,0.8,-0.1,-0.1,-4.3,-7.0,-2.1,-2.2,0.1,-0.2,-0.1,-0.3,0.0,0.1,0.1,-0.1,0.1,0.0,-0.1,0.0,0.0,0.0,-0.7,0.0,-0.2,-0.2,-0.1,-0.7,-0.4,0.0,0.0,3.4,7.0,-0.4,8.2,0.5,0.2,1.1,0.9,0.7,-0.1,-0.1,-0.1,-0.2,0.0,0.0,0.2,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,-0.7,-0.4,0.0,0.2,-0.1,0.0,-0.3,-0.5,0.0,0.0,-0.1,0.0,0.0,
199904,0.5,0.3,0.5,0.3,0.3,0.6,0.6,3.6,0.0,0.0,1.2,2.1,-0.7,-0.2,5.3,8.7,-1.3,-1.4,0.3,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.2,-0.2,-0.6,-1.0,-0.7,-0.4,0.4,0.0,0.1,0.0,-0.2,-0.2,-0.3,0.4,3.6,3.0,0.5,3.4,7.8,11.4,0.4,0.6,1.3,-0.1,0.4,0.0,0.1,0.7,-0.2,-0.2,-0.1,0.0,1.3,1.6,0.3,0.4,-0.2,-0.5,-0.7,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.3,-0.8,1.2,-0.2,
199905,0.0,0.1,0.1,0.1,0.1,0.0,-0.1,-0.9,0.0,-0.1,-1.5,-2.5,0.1,1.3,-3.4,-5.5,8.9,9.3,0.0,0.1,0.0,-0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.2,0.1,0.3,0.8,0.1,1.2,0.0,0.2,0.0,0.9,1.6,-0.3,1.8,0.9,1.3,-0.2,0.1,0.0,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0,0.0,0.2,-0.4,0.2,-0.1,0.3,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,
199906,-0.3,-0.1,-0.4,-0.1,-0.1,0.0,-1.0,-4.8,-0.1,-0.4,-1.1,-2.0,-0.4,-1.9,-5.6,-8.9,-3.4,-3.6,-0.2,0.2,0.0,0.4,0.0,0.1,0.2,0.0,0.2,0.3,-0.2,0.1,0.0,0.1,0.3,0.0,-0.1,-0.1,-0.1,-0.3,-0.1,-0.1,0.0,-0.2,-0.3,0.3,-0.3,-0.3,-0.5,0.7,0.1,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,-0.4,-0.5,-1.8,0.2,0.2,-0.1,0.0,-0.1,-0.2,0.0,0.0,0.2,0.0,-0.3,
199907,-0.4,-0.3,-0.5,-0.4,-0.3,-0.5,-0.4,-2.0,-0.1,-0.1,-1.0,-1.6,-0.1,-0.5,4.0,6.8,-13.8,-14.3,0.1,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.4,-0.6,-0.2,0.3,0.0,-0.2,-0.5,-0.3,0.0,-0.1,-0.2,0.2,-3.5,-4.0,0.1,-4.6,-5.0,-6.8,-0.8,-1.2,-1.7,0.0,-1.5,0.1,-0.4,-2.7,0.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,-0.1,-0.4,0.3,-0.3,-0.2,-0.1,0.0,0.0,-0.6,0.0,0.0,0.1,0.0,0.0,
199908,0.3,-0.1,0.3,-0.1,-0.1,-0.1,1.3,7.3,0.1,0.0,3.8,6.1,0.1,0.4,8.3,13.7,-0.6,-0.7,-0.4,-0.1,0.3,0.4,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,-0.2,-0.6,-0.3,-0.1,-0.1,0.0,0.0,-2.0,-2.4,0.6,-2.8,-2.8,-4.1,0.2,-0.6,-0.8,0.0,0.0,0.0,-0.4,0.0,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.1,-0.6,-0.3,0.3,0.3,-0.1,0.0,0.0,-0.5,0.0,0.0,0.3,0.0,0.2,
199909,0.3,0.4,0.5,0.5,0.4,0.4,0.0,-0.2,0.0,-0.3,-1.1,-1.5,0.0,2.2,-0.5,-0.7,3.1,3.4,0.3,0.0,-0.6,-0.5,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,1.2,0.1,-0.1,-0.6,0.7,0.9,0.0,-0.4,0.0,5.8,7.0,-0.2,8.1,8.3,11.6,1.0,1.5,1.7,0.0,-0.1,0.0,-0.3,0.0,-0.1,-0.8,0.4,0.0,0.0,0.0,0.0,0.0,-0.1,-0.8,0.6,0.0,-0.3,0.1,0.0,0.0,0.6,0.0,0.1,0.4,0.0,-0.3,
199910,0.2,0.1,0.2,0.1,0.0,0.2,0.2,1.7,-0.1,-0.7,-0.9,-1.4,-0.4,-0.3,3.1,4.8,1.0,1.1,-0.4,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.2,0.9,0.0,-0.2,-0.8,0.1,0.2,-0.2,0.1,0.0,0.9,1.6,0.0,1.7,0.9,0.7,1.4,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.1,0.2,-0.1,0.0,0.0,0.0,0.0,0.4,-0.4,0.1,0.1,0.7,0.0,0.1,0.1,-0.3,0.0,0.0,0.7,0.0,0.3,
199911,-0.6,-0.1,-0.7,-0.1,-0.1,-0.1,-1.9,-10.0,-0.2,-0.3,-1.2,-2.0,-0.5,-0.2,-11.1,-17.1,-9.8,-10.4,0.1,0.1,-0.1,-0.6,-0.2,0.0,0.0,-0.1,0.0,-0.1,0.0,0.2,0.0,0.3,1.6,0.0,-0.1,0.0,-0.3,0.2,-0.1,-0.1,0.0,0.0,-0.1,-0.4,-0.1,-0.4,-0.6,0.4,0.7,0.2,0.0,-0.1,0.0,-0.1,0.0,0.1,-0.1,0.2,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,-0.7,0.1,-0.4,-0.1,0.0,-0.4,0.1,0.0,0.0,0.4,0.0,-0.3,
199912,-0.3,0.0,-0.4,0.0,0.0,-0.1,-1.0,-6.0,0.1,-0.2,0.8,1.3,0.1,1.3,-6.7,-10.9,-11.0,-11.5,-0.3,-0.1,0.0,0.2,-0.2,0.0,0.0,-0.1,0.0,-0.1,-0.1,0.0,0.0,-0.2,1.4,0.0,-0.5,-1.0,-0.5,-0.8,-0.1,0.0,0.0,-0.5,-0.8,-0.2,-0.9,-0.2,-0.4,0.0,-0.3,-0.1,0.0,0.0,0.0,-0.3,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,-0.2,-0.8,0.9,-0.1,-0.7,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,-0.1,
200001,-0.3,-0.6,-0.3,-0.7,-0.7,-0.8,0.8,6.3,-0.3,-0.1,0.4,0.9,0.0,-2.6,5.2,9.2,12.2,12.8,-0.3,0.1,-0.5,0.1,-0.1,0.0,-0.1,0.0,-0.1,0.0,0.0,0.5,0.6,0.6,0.2,0.2,-0.5,-1.2,-0.1,-0.8,-0.7,-0.1,0.0,-6.2,-8.6,0.1,-9.8,-6.6,-8.9,-1.1,-1.8,-1.9,0.0,-0.1,0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.7,-0.4,0.0,-0.2,0.0,0.0,-0.1,-0.1,0.0,0.0,0.4,0.0,-0.2,
200002,-0.3,-0.2,-0.3,-0.3,-0.2,-0.2,-0.3,-1.9,0.1,0.1,-0.7,-0.8,-0.2,1.1,-3.0,-5.0,1.4,1.7,0.2,-0.1,0.2,0.3,0.1,-0.1,0.1,0.0,0.2,0.0,-0.1,-0.1,0.0,-0.1,-0.2,0.2,-0.4,-1.0,-0.5,-0.1,-0.1,-0.2,0.0,-2.2,-3.3,-0.2,-3.8,-2.5,-3.3,-0.7,0.1,-0.5,0.0,-0.2,0.0,-0.8,0.0,-0.2,-0.7,0.0,-0.1,0.0,0.0,0.0,0.0,-0.3,-2.3,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.4,
200003,0.2,0.2,0.3,0.2,0.2,0.3,0.0,1.9,-0.4,-0.1,0.3,0.6,-0.2,0.8,3.1,5.3,-1.5,-1.6,-0.5,0.0,0.1,-0.2,-0.1,-1.1,0.0,-0.1,-0.1,-0.1,-0.1,0.1,0.0,0.0,0.6,0.0,-0.6,-1.1,-0.4,0.0,-0.2,-0.3,0.0,2.9,5.8,-0.1,6.5,0.9,1.1,0.9,1.4,0.7,0.0,-0.1,-0.1,-0.4,0.0,0.3,1.4,0.0,0.0,0.1,0.0,0.0,0.3,0.6,-0.9,0.7,0.0,0.9,-0.1,0.1,0.0,-0.6,0.0,0.0,0.2,0.0,0.8,
200004,0.2,0.2,0.2,0.2,0.1,0.2,-0.2,-0.7,0.0,0.0,0.7,1.0,-0.2,-0.4,-2.3,-3.8,1.8,1.9,-0.1,0.1,0.0,0.0,-0.1,-0.2,-0.2,0.0,-0.1,0.0,0.0,0.7,0.6,0.8,0.9,0.9,0.0,0.0,0.2,-0.9,-0.4,0.2,0.3,3.6,3.2,0.0,3.5,7.2,10.7,-0.5,-0.2,1.1,0.0,0.6,0.0,0.1,1.1,-0.4,-0.3,0.1,-2.0,0.9,1.3,0.4,-0.1,-0.5,-0.4,-1.6,0.0,0.0,0.0,0.1,-0.2,-0.2,0.0,0.4,0.7,0.9,-0.5,
200005,0.1,0.2,0.1,0.2,0.2,0.3,-0.2,-1.3,-0.1,0.0,-2.0,-3.3,-0.4,0.0,-2.6,-4.5,6.5,6.8,0.0,-0.1,-0.2,-0.2,0.0,0.0,0.4,0.0,0.4,0.1,-0.1,0.1,0.0,0.1,0.3,0.1,-0.2,-0.8,0.0,0.3,0.1,-0.1,0.0,1.0,1.9,-0.1,2.1,0.7,1.1,-0.1,0.0,0.0,0.0,-0.1,-0.1,-0.4,0.0,0.1,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.8,-2.9,0.6,0.1,1.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.1,0.0,0.8,
200006,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.1,-0.2,-0.1,0.0,-2.1,-3.2,0.0,-2.1,1.2,2.2,1.0,1.0,-0.5,-0.2,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,-0.3,-0.7,0.0,0.5,-0.2,-0.1,0.3,-0.2,-0.4,0.0,-0.5,-0.1,-0.3,0.5,-0.3,-0.1,0.0,-0.1,0.0,-0.4,0.0,-0.1,-0.1,0.1,-0.5,0.0,0.0,0.0,0.0,-1.3,-1.9,-1.0,0.0,-1.6,-0.1,0.0,-0.2,-0.2,0.0,0.0,0.2,0.0,-1.2,
200007,-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.7,-3.1,-0.2,-0.2,0.3,0.5,0.0,-0.9,-1.6,-2.5,-8.8,-9.1,0.1,-0.1,0.0,-0.5,-0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.7,0.0,0.0,-0.5,-0.8,-0.5,-0.4,-0.2,-0.7,0.0,-3.6,-4.2,-0.3,-4.5,-4.8,-6.7,-0.3,-1.1,-1.9,0.0,0.1,0.0,0.1,0.0,0.2,0.4,0.2,-0.2,0.0,0.0,0.0,0.0,0.7,-1.2,-0.2,0.0,1.6,-0.1,0.0,0.0,-0.7,0.0,0.0,0.7,0.0,0.7,
200008,0.3,0.1,0.3,0.1,0.1,0.1,0.6,3.9,0.0,0.0,1.5,2.9,0.2,-0.4,1.6,2.4,6.9,7.3,-0.5,-0.1,-0.1,0.1,-0.2,0.2,-0.1,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,0.2,0.0,-0.3,-0.6,-0.3,-0.5,-0.2,-0.4,0.0,-2.3,-2.9,-0.1,-3.2,-3.1,-4.4,0.0,-1.0,-0.7,0.0,-0.1,-0.1,-0.2,0.0,0.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-2.0,0.4,0.1,3.1,-0.1,0.1,-0.1,-0.1,0.0,0.0,0.1,0.0,1.8,
200009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,1.0,-0.1,-0.4,-0.7,-1.6,0.0,0.6,4.9,8.2,-5.1,-5.4,-0.1,0.2,-0.3,-0.3,0.0,-0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,-0.4,-0.8,0.0,-0.3,-0.1,-0.2,0.0,4.9,5.1,-0.8,5.8,7.9,11.1,0.5,1.4,1.6,0.0,-0.1,-0.2,-0.3,0.0,-0.5,-2.1,0.0,-0.1,0.0,0.0,0.0,0.0,-2.1,-3.7,0.0,0.0,-3.2,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,-2.3,
200010,0.0,-0.2,-0.1,-0.2,-0.1,-0.2,0.3,2.0,0.0,-0.6,-1.7,-2.7,0.0,0.8,2.2,3.7,6.2,6.5,0.1,0.3,-0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,-1.5,-3.9,0.6,2.9,0.1,-0.2,-0.6,0.1,-0.1,0.0,-0.2,0.0,1.1,2.3,0.1,2.5,0.1,0.1,0.0,0.0,1.9,-0.1,0.0,-0.1,0.1,0.0,0.1,0.0,0.7,-1.4,0.0,0.0,0.0,0.0,-1.3,-3.9,-0.6,0.0,-1.5,0.0,0.0,0.0,-0.1,0.0,0.0,-0.7,0.0,-1.2,
200011,-0.3,0.0,-0.3,-0.1,-0.1,0.0,-0.7,-3.8,-0.1,-0.5,1.1,1.6,0.0,-0.2,-4.4,-7.0,-6.2,-6.3,-0.3,-0.2,-0.3,-0.3,0.1,0.0,0.1,0.0,0.1,0.0,-0.1,0.2,0.0,0.1,3.4,0.0,-0.2,-0.5,0.0,0.1,0.2,-0.1,0.0,0.1,0.4,-0.1,0.5,-0.3,-0.5,0.3,-0.1,0.3,0.1,-0.1,0.0,-0.2,0.0,0.0,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,-0.6,-1.6,0.1,-0.2,-0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,-0.6,
200012,0.1,0.0,0.2,0.0,0.0,-0.1,0.4,3.1,0.0,-0.4,0.5,1.0,0.0,1.1,2.5,4.3,4.4,4.6,0.0,-0.1,0.0,-0.2,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,0.0,0.2,0.0,0.1,1.5,0.0,-0.4,-1.0,-0.2,-0.2,-0.1,-0.4,0.0,-0.5,-0.6,-0.2,-0.8,-0.6,-0.8,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.6,0.0,0.0,0.5,0.1,-0.4,0.0,0.0,0.0,0.0,0.4,-1.8,0.9,0.1,0.7,-0.1,0.0,-0.4,-0.1,0.0,0.0,0.2,0.0,0.6,
200101,0.0,-0.6,-0.1,-0.6,-0.6,-0.7,1.5,9.1,-0.2,-0.1,2.3,3.4,-0.4,-1.7,9.0,14.5,8.8,9.2,0.3,-0.1,-0.2,-0.4,-0.2,0.0,-0.1,-0.1,-0.1,0.0,-0.1,0.3,0.5,0.3,0.4,0.0,-0.2,-0.4,0.0,-0.5,0.0,-0.2,0.0,-5.9,-8.9,-1.0,-9.7,-6.0,-8.0,-1.0,-1.1,-1.9,0.1,1.2,0.0,-0.1,2.4,-0.2,-0.1,-0.1,-0.7,0.0,0.0,1.0,0.0,-1.0,-1.9,0.1,0.2,-1.7,-0.1,0.1,-0.2,-0.2,0.0,0.0,0.2,0.1,-1.0,
200102,-0.3,-0.2,-0.3,-0.3,-0.2,-0.3,-0.3,-1.8,0.1,0.0,-1.6,-2.2,0.1,1.9,-0.7,-1.0,-2.7,-2.8,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,-0.3,-0.4,0.0,-0.4,-1.0,0.2,-1.1,0.2,0.0,0.0,-2.4,-3.8,-0.4,-4.2,-2.6,-3.6,-0.4,0.2,-0.3,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,-0.3,-0.1,-0.2,0.0,0.0,0.0,0.0,-0.5,-2.2,-0.2,-0.1,-0.4,0.0,0.0,0.2,-0.1,0.0,0.0,-0.2,-0.1,-0.5,
200103,-0.2,0.1,-0.2,0.2,0.1,0.2,-0.9,-4.9,-0.1,-0.1,2.7,4.1,-0.1,-0.7,-6.6,-10.4,-7.8,-8.2,-0.2,0.1,-0.1,0.1,0.0,0.0,0.0,-0.1,0.1,0.0,-0.2,0.0,0.0,0.1,0.0,0.0,-0.4,-0.7,-0.4,-0.8,-0.2,-0.5,0.0,2.1,5.3,-0.3,5.9,-0.8,-1.2,0.4,0.7,0.5,0.0,0.0,-0.2,-0.3,0.0,-0.3,0.9,-0.2,-2.0,0.0,0.0,0.0,0.1,0.4,-0.9,0.5,0.0,0.8,0.2,0.0,0.1,0.8,0.0,0.0,-0.1,0.0,0.6,
200104,0.2,0.3,0.1,0.2,0.3,0.4,-0.6,-2.6,-0.2,0.0,-0.1,0.3,-0.1,-1.3,-2.2,-3.8,-5.4,-5.5,-0.3,-0.2,-0.1,-0.2,-0.1,-0.2,0.2,-0.1,0.3,-0.1,-0.1,0.7,0.7,0.5,-0.1,1.0,-0.1,0.1,0.1,-0.7,-0.2,-0.4,0.3,3.8,3.2,-0.2,3.6,8.2,11.9,-0.1,-0.4,1.1,0.0,0.0,0.0,0.0,0.1,0.0,-1.1,0.3,0.0,1.0,1.1,0.6,0.6,-0.1,-1.2,-1.2,0.0,0.5,0.1,0.1,-0.1,0.3,0.0,0.1,0.3,0.9,-0.3,
200105,0.1,0.0,0.2,0.1,0.0,0.1,0.2,1.8,0.0,0.1,-0.4,-0.7,0.1,-0.8,-1.5,-2.3,12.6,13.3,0.3,-0.1,-0.1,-0.5,-0.1,0.0,0.0,-0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,-0.2,0.3,-0.1,-0.2,-0.3,0.9,-0.1,-0.3,0.0,1.3,2.6,-0.1,2.8,0.7,1.2,-0.2,0.0,0.2,0.0,-0.1,-0.1,-0.3,0.0,-0.5,0.1,-0.2,-1.6,0.0,0.1,0.0,0.0,0.4,-2.3,0.4,0.1,0.9,-0.1,-0.1,-0.3,0.0,0.0,0.0,-0.3,0.0,0.3,
200106,-0.3,-0.1,-0.4,-0.2,-0.1,-0.1,-0.7,-3.9,-0.1,-0.1,-3.2,-5.3,0.2,-0.7,-1.3,-2.1,-4.2,-4.4,-0.5,0.0,-0.1,0.4,-0.2,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.3,-0.3,-0.9,0.5,0.0,-0.2,-0.4,-0.1,-0.3,-0.5,-0.1,-0.5,-0.1,-0.3,0.4,0.0,-0.2,0.0,0.0,0.0,-0.2,0.0,0.1,-0.1,0.3,-0.5,0.0,0.0,0.0,0.0,-0.6,-2.7,-1.4,0.0,-0.3,0.0,0.0,-0.1,0.4,0.0,0.0,-0.1,0.0,-0.6,
200107,-0.3,-0.2,-0.4,-0.2,-0.2,-0.2,-0.7,-3.4,-0.1,0.0,-0.9,-1.1,0.2,-0.2,-2.3,-4.0,-5.8,-6.1,-0.2,-0.2,-0.1,-0.5,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,-0.3,0.3,-0.3,0.1,-0.5,-0.9,-0.8,-0.8,-0.1,-0.5,0.1,-3.5,-3.9,-0.5,-4.3,-5.1,-7.2,-0.2,-1.0,-1.6,0.1,-0.1,0.0,-0.3,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.5,-0.4,0.0,1.2,-0.1,0.0,-0.2,-0.3,0.0,0.0,0.0,0.0,0.5,
200108,0.4,0.1,0.5,0.1,0.1,0.1,1.1,6.9,-0.1,0.0,3.0,4.6,0.1,-0.3,6.4,10.9,4.1,4.4,-0.4,0.0,0.1,-0.2,-0.1,-0.2,0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,-0.1,0.0,-0.5,-1.0,0.0,-0.9,0.0,-0.3,0.0,-2.7,-3.5,0.3,-3.9,-3.8,-5.4,0.1,-0.3,-0.7,-0.1,0.0,-0.1,-0.1,0.0,0.4,1.9,0.0,-0.1,0.0,0.0,0.0,0.0,2.1,-0.9,0.9,0.1,3.3,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,0.0,2.3,
200109,-0.2,0.0,-0.2,0.0,0.0,0.0,-0.4,-2.5,0.0,0.2,-3.5,-5.5,0.3,1.0,1.1,1.6,-4.4,-4.7,0.4,-0.9,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.2,0.3,-0.3,-0.9,-0.1,0.1,-0.1,0.0,0.0,5.7,6.8,-0.8,7.6,8.9,13.0,0.0,1.4,1.1,0.1,-0.1,0.0,0.0,0.0,-0.6,-2.4,-0.1,0.0,0.0,0.0,0.0,0.0,-2.3,-1.6,-0.6,-0.1,-3.7,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,-2.6,
200110,0.0,-0.1,0.0,-0.1,-0.1,-0.1,0.1,1.6,-0.1,-0.3,-0.8,-0.9,-0.3,0.6,0.7,1.4,5.5,5.9,-0.3,-1.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.6,0.1,-0.1,0.3,-0.2,-0.6,-0.3,0.2,-0.2,-0.3,0.1,0.7,1.1,-0.2,1.3,0.1,0.2,0.2,0.2,1.5,-0.1,-0.1,-0.1,-0.3,0.0,0.2,-0.3,0.4,0.0,0.0,0.0,0.0,0.0,-0.9,-2.1,-0.3,0.1,-1.2,0.0,0.0,-0.1,0.2,0.0,0.0,0.1,0.0,-0.8,
200111,-0.5,-0.1,-0.7,-0.2,-0.1,-0.2,-1.6,-8.8,-0.1,-0.1,-1.1,-1.9,-0.3,-0.1,-8.7,-14.1,-9.4,-9.9,0.3,-0.2,-0.1,-0.1,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,-1.4,0.0,-0.3,-0.7,-0.1,-0.6,-0.1,-0.1,0.0,0.0,0.6,0.2,0.6,-0.6,-0.9,-0.1,-0.2,-0.1,0.1,-0.1,-0.1,-0.5,0.0,-0.2,0.1,-0.3,-0.1,0.0,0.0,0.0,0.0,-0.9,-1.5,0.0,-0.1,-1.5,-0.1,0.0,-0.2,-0.2,0.0,0.0,-0.3,0.0,-0.9,
200112,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,-1.1,-0.1,-0.3,1.3,2.0,-0.1,1.1,-1.7,-2.7,-3.6,-3.7,-0.6,-0.3,0.1,-0.2,-0.2,0.0,0.1,0.0,0.1,0.1,0.0,-0.1,0.0,0.0,-2.7,0.0,-0.2,-0.4,-0.2,0.0,-0.2,-0.3,0.0,-0.8,-1.4,-1.7,-1.4,-0.7,-0.9,-0.2,-0.5,0.1,0.0,0.0,0.0,-0.3,0.0,-0.1,0.5,-0.4,-0.1,0.0,0.0,0.0,0.0,0.5,-1.0,-0.3,0.3,1.1,-0.1,0.0,-0.2,-0.1,0.0,0.0,-0.5,0.0,0.6,
200201,-0.2,-0.5,-0.2,-0.6,-0.5,-0.7,1.2,8.2,0.0,-0.3,2.8,4.2,0.7,-2.0,6.6,11.8,8.9,9.5,0.1,-0.2,0.1,0.0,0.0,0.0,-0.1,0.0,0.0,-0.1,0.0,-0.2,-0.1,-0.2,-1.3,0.0,-0.4,-0.7,-0.3,-0.6,-0.2,-0.3,0.0,-6.2,-9.4,-0.3,-10.2,-6.0,-8.1,-0.9,-1.6,-2.0,-0.1,-0.1,-0.1,-0.2,0.0,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,-1.0,-2.5,0.1,-0.1,-1.5,0.1,0.0,0.0,0.2,0.0,0.0,-0.3,-0.1,-0.9,
200202,-0.5,-0.2,-0.5,-0.3,-0.2,-0.3,-0.8,-5.5,0.1,-0.3,-1.7,-2.8,0.2,1.2,-6.3,-10.2,-1.7,-2.0,0.1,-0.1,-0.7,0.1,0.1,0.7,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,-1.2,0.0,-0.5,-1.2,-0.5,-0.7,0.0,-0.1,0.1,-2.4,-3.9,-1.2,-4.1,-2.5,-3.4,-0.3,0.0,-0.2,-0.1,-0.1,-0.2,-0.2,0.0,-0.1,-0.2,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.7,-1.9,-0.3,-0.1,-0.9,0.0,0.0,-0.1,0.3,0.0,0.0,-0.2,0.0,-0.7,
200203,0.2,0.2,0.2,0.3,0.3,0.3,0.0,-0.7,0.1,0.3,2.4,3.9,-0.1,0.0,-2.7,-4.5,-2.3,-2.5,-0.4,0.5,0.5,-0.1,-0.2,0.1,0.0,-0.1,0.0,0.0,-0.1,-0.2,0.0,-0.4,-0.6,0.0,-0.4,-0.8,-0.6,-0.9,-0.2,-0.2,0.0,2.8,6.5,-0.3,7.1,-0.3,-0.6,0.2,1.2,1.0,-0.1,0.0,0.0,0.1,0.0,0.1,0.7,-0.1,0.0,0.0,0.0,0.0,0.2,0.6,-1.0,0.5,-0.2,1.1,0.2,0.0,-0.4,1.5,0.0,0.0,-0.2,0.0,0.8,
