code,name,parent,depth,raw_weight,rounded_weight,official_type
5182,Women's coats,0087,5,2216476,6,Item
5184,Girls' school uniforms,0087,5,1578843,4,Item
0088,Children's clothing,0085,4,5223468,15,Group
5195,Children's trousers (for spring & summer),0088,5,1802331,5,Item
5196,Children's trousers (for autumn & winter),0088,5,2703490,8,Item
5193,Babies' clothes,0088,5,717647,2,Item
0089,"Shirts, sweaters & underwear",0082,2,32904173,93,Group
0090,Shirts & sweaters,0089,3,22334968,63,Group
0091,Men's shirts & sweaters,0090,4,7707996,22,Group
5202,Men's business shirts,0091,5,1680526,5,Item
5211,Men's sports shirts (long sleeves),0091,5,1348506,4,Item
5212,Men's sports shirts (short sleeves),0091,5,3146510,9,Item
5221,Men's sweaters,0091,5,1532454,4,Item
0092,Women's shirts & sweaters,0090,4,12751237,36,Group
5231,Blouses (long sleeves),0092,5,931087,3,Item
5232,Blouses (short sleeves),0092,5,1396645,4,Item
5233,Women's T-shirts (long sleeves),0092,5,2690909,8,Item
5234,Women's T-shirts (short sleeves),0092,5,4036368,11,Item
5241,Women's sweaters (long sleeves),0092,5,2956989,8,Item
5242,Women's sweaters (short sleeves),0092,5,739239,2,Item
0093,Children's shirts & sweaters,0090,4,1875735,5,Group
5243,Children's T-shirts (long sleeves),0093,5,1125444,3,Item
5244,Children's T-shirts (short sleeves),0093,5,750291,2,Item
0094,Underwear,0089,3,10569205,30,Group
0095,Men's underwear,0094,4,3222840,9,Group
5301,Men's undershirts,0095,5,1704919,5,Item
5311,Men's underpants,0095,5,852462,2,Item
5331,Men's pajamas,0095,5,665459,2,Item
0096,Women's underwear,0094,4,6119191,17,Group
5341,Brassieres,0096,5,984343,3,Item
5351,Panties,0096,5,2567424,7,Item
5361,Lingeries,0096,5,2567424,7,Item
0097,Children's underwear,0094,4,1227174,3,Group
5372,Children's underwear,0097,5,1227174,3,Item
0098,Footwear,0082,2,15793408,45,Group
5601,Men's shoes,0098,3,3432892,10,Item
5611,Women's shoes,0098,3,4415797,12,Item
5641,Children's shoes,0098,3,2244380,6,Item
5631,Canvas shoes,0098,3,4296054,12,Item
5671,Sandals,0098,3,319944,1,Item
5652,Slippers,0098,3,1084341,3,Item
0103,Other clothing,0082,2,8627972,24,Group
5501,Hats & caps,0103,3,2080591,6,Item
5572,Mufflers,0103,3,638081,2,Item
5521,Men's socks,0103,3,2176890,6,Item
5541,Women's socks,0103,3,2822180,8,Item
5571,Belts,0103,3,910230,3,Item
0106,Services related to clothing,0082,2,5714415,16,Group
5711,Laundry charges-A,0106,3,2011079,6,Item
5712,Laundry charges-B,0106,3,2011079,6,Item
5721,Footwear repair charges,0106,3,579008,2,Item
5731,Charges for clothing rent,0106,3,1113249,3,Item
0107,Medical care,0001,1,165090296,466,Group
0108,Medicines & health fortification,0107,2,41625151,117,Group
6001,Medicines for cold,0108,3,3298740,9,Item
6002,Antipyretic & analgesic medicines,0108,3,2199167,6,Item
6012,Gastrointestinal medicines,0108,3,3433141,10,Item
6021,Vitamin preparations-A,0108,3,1364856,4,Item
6022,Vitamin preparations-B,0108,3,1364856,4,Item
6031,Health drinks,0108,3,6369327,18,Item
6051,Dermal medicines,0108,3,2400658,7,Item
6061,Plasters,0108,3,1752027,5,Item
6062,Eyewashes,0108,3,2628039,7,Item
6091,Chinese medicines,0108,3,2692943,8,Item
6003,Medicines for rhinitis,0108,3,2692943,8,Item
6090,Supplements,0108,3,5714227,16,Item
6096,Protein powder,0108,3,5714227,16,Item
