Date,headline_yoy,official_core_yoy,model_headline_input
2013-03-31,2.493513980974349,,1.4707169112738718
2013-06-30,2.351591626039573,,1.5644168955644344
2013-09-30,2.2068185033243815,,5.005564030510476
2013-12-31,2.6809651474530627,,2.9417707046224795
2014-03-31,2.9391084235691256,,2.463151853991366
2014-06-30,3.0680862986830926,,2.0636440598155223
2014-09-30,2.256055363321785,,1.7150995103034141
2014-12-31,1.7177408272639916,,0.8310518477256701
2015-03-31,1.3114754098360493,,0.9210579713816354
2015-06-30,1.5223596574690745,,2.9788366454586908
2015-09-30,1.4889009204114956,,1.5765131105861017
2015-12-31,1.6887327749256942,,1.6192822452546904
2016-03-31,1.2944983818770295,,-0.7099581952729085
2016-06-30,1.0175391618690632,,1.7876896491510061
2016-09-30,1.3336889837289867,,2.8794067547320026
2016-12-31,1.4746911119968065,,2.1820169331340797
2017-03-31,2.1432374866879655,,1.889972502764934
2017-06-30,1.8952948972829509,,0.7963678534166934
2017-09-30,1.8031060805475008,,2.5499015503357283
2017-12-31,1.9507724535218873,,2.812486861806158
2018-03-31,1.9288413918936431,,1.7826923726449961
2018-06-30,2.09417273673258,,1.4721111859992233
2018-09-30,1.913380736910164,,1.7654567901819704
2018-12-31,1.7593424939000846,,2.149201773776185
2019-03-31,1.3041810510165064,,0.010906295428198182
2019-06-30,1.5415976557523248,,2.497673538877465
2019-09-30,1.674489407585944,,2.299410412244843
2019-12-31,1.842503785966687,,2.8307967531401106
2020-03-31,2.2340022718667196,,1.5931959528771702
2020-06-30,-0.32622333751568533,,-6.555782785028866
2020-09-30,0.6487835308796042,,7.236154168139581
2020-12-31,0.867410161090465,,3.827612160646402
2021-03-31,1.0740740740740717,,2.4035211902499403
2021-06-30,3.81419939577039,,3.01538341051655
2021-09-30,3.099045493987851,,3.577034409587083
2021-12-31,3.4766584766584785,,5.246702552313102
2022-03-31,5.105655307194312,,9.021081748979151
2022-06-30,6.208318176306538,,7.4030826251389925
2022-09-30,7.25021041240832,,7.702276086553898
2022-12-31,7.859432506232933,,7.635724566777256
2023-03-31,7.007553747821027,,5.61017598560953
2023-06-30,6.02808539787647,,3.5077495688171316
2023-09-30,5.313901345291483,,4.785876618573706
2023-12-31,4.0506329113924044,,2.5862985969133385
2024-03-31,3.6164205039096453,,3.810067121784094
2024-06-30,3.811779907397428,,4.273850592821598
2024-09-30,2.852884820097934,,0.9534354292944986
2024-12-31,2.4119327197714924,,0.8437697791743626
2025-03-31,2.400167697306377,,3.769104469398764
2025-06-30,2.0952183383466494,,3.05706937812893
2025-09-30,3.2187952804802356,,5.425415569562773
2025-12-31,3.625658506352636,,2.3974034460852396
2026-03-31,4.094165813715445,,5.698973636064528
2026-06-30,3.9418876358833677,,2.4429578683107724
