,headline_index,headline_yoy,ex_fresh_food_index,ex_fresh_food_yoy,ex_fresh_food_energy_index,ex_fresh_food_energy_yoy,ex_food_energy_index,ex_food_energy_yoy
2013-01,97.81901316402117,-0.31678986272439813,98.44074417989418,-0.21008403361345573,97.922635,-0.6309148264984188,99.9465103753198,-0.5941695415827675
2013-02,97.6117694920635,-0.6329113924050556,98.44074417989418,-0.31479538300105414,97.922635,-0.7352941176470784,99.8162892750328,-0.8820063252325205
2013-03,97.6117694920635,-0.8421052631578885,98.44074417989418,-0.41928721174004924,97.922635,-0.7352941176470784,100.046991199632,-0.6741748017827454
2013-04,97.71539132804233,-0.6322444678609096,98.54436601587301,-0.3144654088050536,98.02625683597884,-0.5257623554153379,100.280440750912,-0.6081962234390614
2013-05,97.81901316402117,-0.31678986272439813,98.64798785185187,0.0,98.12987867195768,-0.3157894736842026,100.301626418777,-0.2852973761593214
2013-06,98.02625683597884,0.21186440677964935,98.85523152380954,0.42105263157896644,98.12987867195768,-0.3157894736842026,100.411756492135,-0.014488278283886213
2013-07,98.33712234391535,0.6362672322375529,98.95885335978836,0.6322444678608985,98.23350050793651,-0.10537407797682752,100.475200167076,0.2006443840083083
2013-08,98.54436601587301,0.8483563096500557,99.16609703174605,0.7368421052631691,98.33712234391535,0.0,100.536929035806,0.19446198790726843
2013-09,98.7516096878307,1.0604453870625807,99.26971886772488,0.7360672975815108,98.33712234391535,0.10548523206752591,100.51858902416,0.2699280097227197
2013-10,98.7516096878307,1.1677282377919207,99.37334070370372,0.8412197686645806,98.44074417989418,0.31678986272438703,100.641567283683,0.51890249288713
2013-11,99.06247519576719,1.4861995753715274,99.47696253968255,1.0526315789473717,98.54436601587301,0.5285412262156397,100.707801508191,0.7130704298414559
2013-12,99.16609703174605,1.4846235418876086,99.58058437566137,1.264488935721797,98.64798785185187,0.634249471458781,100.780010438983,0.8557671993576266
2014-01,99.16609703174605,1.3771186440677985,99.68420621164022,1.263157894736855,98.64798785185187,0.7407407407407529,100.796655937619,0.8506005453384091
2014-02,99.16609703174605,1.5923566878981,99.68420621164022,1.263157894736855,98.7516096878307,0.846560846560851,100.852083542679,1.037700635005745
2014-03,99.26971886772488,1.698513800424628,99.78782804761904,1.3684210526315743,98.85523152380954,0.9523809523809712,100.932940824166,0.885533501718383
2014-04,98.5994962962963,0.9047755489060227,99.10461666666666,0.5685263130145835,98.1954,0.17254883485369188,100.020484009985,-0.25922975505534573
2014-05,98.90256851851852,1.1077144610736056,99.4076888888889,0.7701130591512229,98.1954,0.06677000820651813,100.220549297184,-0.08083330698397395
2014-06,99.0035925925926,0.9970142573627605,99.50871296296296,0.6610489187879098,98.29642407407407,0.1697193600668001,100.270049359726,-0.14112603679041769
2014-07,99.20564074074075,0.8832050156887039,99.71076111111111,0.7598185769079224,98.39744814814816,0.16689585463607326,100.450904082483,-0.02418117560610833
2014-08,99.30666481481481,0.7735589864356296,99.71076111111111,0.5492442434138489,98.49847222222222,0.16407829969091736,100.38205792031,-0.15404400848650912
2014-09,99.30666481481481,0.5620719791188611,99.71076111111111,0.4442867859572708,98.49847222222222,0.16407829969091736,100.304938077737,-0.21254869223407136
2014-10,99.0035925925926,0.255168402376893,99.71076111111111,0.3395482178801368,98.49847222222222,0.058642427796495866,100.321070449161,-0.31845373951561173
2014-11,98.90256851851852,-0.16142003006957006,99.60973703703704,0.13347260909934988,98.49847222222222,-0.04657170724848836,100.344729829405,-0.3605199134016135
2014-12,99.0035925925926,-0.16387096398623457,99.50871296296296,-0.0721741222438288,98.5994962962963,-0.04915615271179341,100.285269731166,-0.490911546508066
2015-01,99.0035925925926,-0.16387096398623457,99.4076888888889,-0.2773933136050122,98.80154444444445,0.15566115025396066,100.304832168873,-0.48793659290677915
2015-02,98.80154444444445,-0.3676181661005584,99.30666481481481,-0.3787374260911913,98.80154444444445,0.05056601788224757,100.242517945407,-0.6044154725014073
2015-03,99.10461666666666,-0.16631678113062653,99.50871296296296,-0.2797085477428074,98.80154444444445,-0.05430878926439009,100.339629760225,-0.5878269860130181
2015-04,99.30666481481481,0.7172131147541005,99.60973703703704,0.5096839959225274,99.0035925925926,0.8230452674897082,100.473707057084,0.4531302278578897
2015-05,99.50871296296296,0.6128702757916216,99.60973703703704,0.20325203252031798,99.10461666666666,0.9259259259259078,100.601399350276,0.38001193943038025
2015-06,99.4076888888889,0.40816326530612734,99.60973703703704,0.10152284263960087,99.20564074074075,0.9249743062692772,100.545325149327,0.2745344111813708
2015-07,99.4076888888889,0.20366598778003286,99.60973703703704,-0.10131712259372483,99.20564074074075,0.8213552361396204,100.684042742315,0.23209214686665813
2015-08,99.4076888888889,0.10172939979655737,99.50871296296296,-0.20263424518743856,99.4076888888889,0.9230769230769376,100.693751949144,0.31050770953653384
2015-09,99.4076888888889,0.10172939979655737,99.50871296296296,-0.20263424518743856,99.50871296296296,1.025641025641022,100.853628357931,0.5470222012088355
2015-10,99.20564074074075,0.20408163265306367,99.4076888888889,-0.3039513677811412,99.50871296296296,1.025641025641022,100.767052688729,0.44455490513730656
2015-11,99.10461666666666,0.20429009193052572,99.50871296296296,-0.10141987829614951,99.60973703703704,1.1282051282051286,100.799651441315,0.453358749067756
2015-12,99.10461666666666,0.10204081632652073,99.50871296296296,0.0,99.71076111111111,1.127049180327866,100.962206275504,0.675010942437182
2016-01,98.90256851851852,-0.10204081632653184,99.30666481481481,-0.1016260162601812,99.60973703703704,0.8179959100204526,100.702258337557,0.39621836764043294
2016-02,99.0035925925926,0.2044989775051187,99.20564074074075,-0.10172939979652407,99.71076111111111,0.9202453987730008,100.778359096515,0.5345447840803708
2016-03,99.10461666666666,0.0,99.20564074074075,-0.3045685279187693,99.71076111111111,0.9202453987730008,100.923688525257,0.582081841868165
