"Timestamp","Country","Status","Iteration","Total","Percent","Elapsed","ETA","Updated","StatusFile"
"2026-09-21 16:35:24","AU","not found",,,,,,,
"2026-09-21 16:35:34","AU","not found",,,,,,,
"2026-09-21 16:35:44","AU","not found",,,,,,,
"2026-09-21 16:35:54","AU","not found",,,,,,,
"2026-09-21 16:36:04","AU","not found",,,,,,,
"2026-09-21 16:36:14","AU","not found",,,,,,,
"2026-09-21 16:36:24","AU","not found",,,,,,,
"2026-09-21 16:36:34","AU","not found",,,,,,,
"2026-09-21 16:36:44","AU","not found",,,,,,,
"2026-09-21 16:36:54","AU","not found",,,,,,,
"2026-09-21 16:37:04","AU","not found",,,,,,,
"2026-09-21 16:37:14","AU","not found",,,,,,,
"2026-09-21 16:37:24","AU","not found",,,,,,,
"2026-09-21 16:37:34","AU","not found",,,,,,,
"2026-09-21 16:37:44","AU","not found",,,,,,,
"2026-09-21 16:37:54","AU","not found",,,,,,,
"2026-09-21 16:38:04","AU","not found",,,,,,,
"2026-09-21 16:38:14","AU","not found",,,,,,,
"2026-09-21 16:38:24","AU","not found",,,,,,,
"2026-09-21 16:38:34","AU","not found",,,,,,,
"2026-09-21 16:38:44","AU","not found",,,,,,,
"2026-09-21 16:38:54","AU","not found",,,,,,,
"2026-09-21 16:39:04","AU","not found",,,,,,,
"2026-09-21 16:39:14","AU","not found",,,,,,,
"2026-09-21 16:39:24","AU","not found",,,,,,,
"2026-09-21 16:39:34","AU","not found",,,,,,,
"2026-09-21 16:39:44","AU","not found",,,,,,,
"2026-09-21 16:39:54","AU","not found",,,,,,,
"2026-09-21 16:40:04","AU","not found",,,,,,,
"2026-09-21 16:40:14","AU","not found",,,,,,,
"2026-09-21 16:40:24","AU","not found",,,,,,,
"2026-09-21 16:40:34","AU","not found",,,,,,,
"2026-09-21 16:40:44","AU","not found",,,,,,,
"2026-09-21 16:40:54","AU","not found",,,,,,,
"2026-09-21 16:41:04","AU","not found",,,,,,,
"2026-09-21 16:41:14","AU","not found",,,,,,,
"2026-09-21 16:41:24","AU","not found",,,,,,,
"2026-09-21 16:41:34","AU","not found",,,,,,,
"2026-09-21 16:41:44","AU","not found",,,,,,,
"2026-09-21 16:41:45","AU_HEADLINE","complete","6001","6001","100.0%","00:25:26","00:00:00","2026-09-21 16:40:47","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model_headline\results\python\australia_headline_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:41:55","AU","not found",,,,,,,
"2026-09-21 16:42:05","AU","not found",,,,,,,
"2026-09-21 16:42:15","AU","not found",,,,,,,
"2026-09-21 16:42:25","AU","not found",,,,,,,
"2026-09-21 16:42:35","AU","not found",,,,,,,
"2026-09-21 16:42:45","AU","not found",,,,,,,
"2026-09-21 16:42:55","AU","not found",,,,,,,
"2026-09-21 16:43:05","AU","not found",,,,,,,
"2026-09-21 16:43:15","AU","not found",,,,,,,
"2026-09-21 16:43:25","AU","not found",,,,,,,
