date,python_mle,at_eviews_params
2010Q3,1.2580658175893495,0.883317346937226
2010Q4,1.3313131568216952,0.8813931494500092
2011Q1,1.2943727144220782,0.6237549701342746
2011Q2,1.110494996835293,0.5515783646578072
2011Q3,0.8395671821971096,0.5842962845027188
2011Q4,1.108297408239863,0.822529761391259
2012Q1,1.2159170745991197,0.8942115163795518
2012Q2,1.0492711715930456,0.7627630091834185
2012Q3,0.7168220088473728,0.5125274164129183
2012Q4,0.6857585435593262,0.36103265532113654
2013Q1,0.4651683355629838,0.13072503967710886
2013Q2,0.26663691465610334,-0.11515465905863184
2013Q3,0.1696385414641733,-0.1510137742482588
2013Q4,0.08122809945780886,-0.18431713058761914
2014Q1,0.15644137276523817,-0.15199264974785753
2014Q2,-0.1064083643652954,-0.359658860367613
2014Q3,-0.46972971819371245,-0.633228748742707
2014Q4,-0.3786032302220077,-0.6401802444999537
2015Q1,-0.07113910043617172,-0.42414697313080674
2015Q2,-0.030589650417984712,-0.443425787366984
2015Q3,-0.07724658495644708,-0.31057548364893905
2015Q4,0.37023591199180533,-0.017923361469768945
2016Q1,0.4595394635271535,0.1283071300779452
2016Q2,0.43380813227181036,0.06971614777824836
2016Q3,0.33352391343706417,-0.15617904986270326
2016Q4,0.1677222981092198,-0.20158709172132788
2017Q1,0.16397140958284967,-0.2439027009074334
2017Q2,0.5294461221125698,-0.013363543337977998
2017Q3,0.5827516172694729,0.08901518662015494
2017Q4,0.4692526181652333,0.07352185647797327
2018Q1,0.4336580375304069,0.14565304967965736
2018Q2,0.7871806587590979,0.3651185679050166
2018Q3,1.1483876307879206,0.5251429934513534
2018Q4,1.039754852865293,0.41307176112129246
2019Q1,0.8065663874944035,0.24718785914723346
2019Q2,0.5234704150379115,0.023721132360768164
2019Q3,0.6166983814643956,0.01100203035527686
2019Q4,0.737732373329129,-0.06316998276698835
2020Q1,-0.25518842357444216,-1.0377306039648089
2020Q2,-3.424943331423054,-3.7003774681788295
2020Q3,-1.6232760621696958,-2.1578782303932558
2020Q4,-0.23996434471853895,-0.44276643308586805
2021Q1,1.2835963618969568,0.9665478890456315
2021Q2,1.8345707647746208,1.2524281422262955
2021Q3,1.4347676620666994,0.8440316215660657
2021Q4,1.975131839454452,1.7596830136283417
2022Q1,2.8443589537857985,2.430867864370039
2022Q2,2.8671000870626866,2.330456198277562
2022Q3,2.7360663154883196,1.8513880940482537
2022Q4,2.4250534606216156,1.5349414923689282
2023Q1,2.1480965005162913,1.1368055276088282
2023Q2,2.2015979443400315,0.9881095570742848
2023Q3,2.0148035825177426,0.7680293588265157
2023Q4,1.4850694171996044,0.34351971561647576
