,headline_index,headline_yoy,core_index,core_yoy
2009-12,85.0956228109622,2.77978907828329,85.2065563860894,2.1401643036433216
2010-01,85.3788210123687,3.458327981123821,85.2799076864681,2.375387767090209
2010-02,85.4543914585518,2.8811283378835206,85.3499813415148,2.1290971908874745
2010-03,85.4888131964198,2.451654897967881,85.2239855991231,1.7876515715633978
2010-04,85.8384929089972,2.633710572453807,85.4425228386161,1.9799599264489043
2010-05,85.9694681002622,2.7535041011679473,85.5262527503028,1.7882939033310619
2010-06,86.0884985841396,2.7268078550905184,85.668169329293,1.6710294991990837
2010-07,86.2008474233586,2.5829808465715365,85.8746911406909,1.8033185326999046
2010-08,86.5393805144144,2.7027753718199987,86.0861795904677,1.8674072430102884
2010-09,87.1529786267308,3.418610129532529,86.245498432466,1.8048658093837933
2010-10,87.4368183268295,3.7006919387619908,86.365034377114,1.7981614327117201
2010-11,87.3197929409921,2.956240159096013,86.367942497462,1.5267313968709173
2010-12,87.6351087243924,2.984273255830794,86.5907117209489,1.624470455756466
2011-01,88.266257361227,3.381911713725816,86.8712484310818,1.8660207167018328
2011-02,88.7388795538186,3.8435568251163454,87.1216854626686,2.075810789066934
2011-03,89.0276380821247,4.139518088260341,87.335276974986,2.4773440962899906
2011-04,89.1593563608968,3.8687345727519418,87.6276668122827,2.5574431805974296
2011-05,89.3709686493672,3.956637890486858,87.8622054633584,2.731269800718983
2011-06,89.7558117453909,4.259933930276416,88.0805397862585,2.8159472483797243
2011-07,90.1364486849862,4.565617832384716,88.291025354588,2.8137908641072684
2011-08,90.6152169984267,4.70980547790425,88.4674856453214,2.766188563811456
2011-09,90.419138546233,3.7476170877542847,88.4724779026161,2.582139950056561
2011-10,90.5434091524378,3.552955019470394,88.5859835332624,2.5715837111238704
2011-11,90.9352950790408,4.140529903102186,88.7767369683538,2.788991379483874
2011-12,91.2376488331606,4.110841147122901,88.9036354193124,2.6710990733246565
2012-01,91.1893589063405,3.3116862915698153,88.9303416791261,2.370281635445659
2012-02,91.3695768925801,2.964537474429152,89.1949901078377,2.379780228261885
2012-03,91.4138414424432,2.6802950316589635,88.9430314594309,1.8408992793431889
2012-04,91.4843131647994,2.6076419781359883,89.0150170655091,1.583233131378936
2012-05,91.6773054112228,2.5806330587107684,89.164922044119,1.4826814031021263
2012-06,91.7492484769173,2.220955604725794,89.3169355934527,1.4037105247021842
2012-07,91.4918911063041,1.5037672784901535,89.3501839427796,1.199622027196856
2012-08,91.7618854291774,1.265425906082207,89.4676759751485,1.1305739306721074
2012-09,92.3076227001459,2.0885889694107984,89.6836126403203,1.3689395464172804
2012-10,92.4402580448205,2.0949607598595987,89.821133104958,1.394294585250977
2012-11,92.3752179833672,1.5834587693093427,89.9986173445348,1.3763519790286338
2012-12,92.4742425103318,1.3553546074301703,90.0890597413744,1.333381156429625
2013-01,92.6795676828798,1.634191526743689,90.2450688875623,1.478378676627523
2013-02,92.7897583458147,1.5543263978383681,90.4060259893582,1.3577398013681519
2013-03,92.7873287048887,1.5024937589022347,90.3157947896911,1.5434186441985132
2013-04,92.7475059003971,1.380775230090192,90.3278379719392,1.4748308203591742
2013-05,92.7439876914066,1.1635183597501486,90.560066102997,1.564678156941235
2013-06,92.8133628684546,1.1598072019140426,90.6901699146353,1.5374848141154418
2013-07,92.988914338169,1.6362359699457096,90.7050335092559,1.516336628186421
2013-08,93.146276028179,1.5086771512232033,90.6209880604373,1.289082423029697
2013-09,93.210481441319,0.9780977071698338,91.0522570602199,1.5260808297147932
2013-10,93.2156439808193,0.8387968103927612,91.2412031629697,1.5809977105859074
2013-11,93.4541709602308,1.1680112917924257,91.5435186134748,1.7165833370814898
2013-12,93.4877015409686,1.0959365582514202,91.560440895888,1.6332517607993813
2014-01,93.703350040522,1.1046473168123239,91.5771456648594,1.4760659986383873
2014-02,93.7209911788651,1.0035944156464138,91.6625519233536,1.3898696688020795
2014-03,94.0197922266375,1.328267058607402,91.8889643592296,1.741854315960767
2014-04,94.1687258605875,1.5323538313975371,92.0685918384696,1.9271510373924494
2014-05,94.297219152202,1.6747516463962775,92.1881036902852,1.797743373372307
2014-06,94.3472117674574,1.6526164461649007,92.2587688668382,1.7296240085109327
