Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,8/1/1967,3.55,3.83,4.09,2,2.47,3.05,1.57,0.61,-0.2,0.92,0.63,0.66,-0.06,0.05,-0.26
,9/1/1967,3.64,3.9,4.18,2.07,2.45,3.1,1.59,0.67,-0.18,0.93,0.64,0.66,-0.01,0.05,-0.24
,10/1/1967,3.76,4.04,4.31,2.21,2.47,3.15,1.58,0.79,-0.17,0.95,0.63,0.68,0.08,0.05,-0.22
,11/1/1967,3.99,4.27,4.54,2.44,2.66,3.22,1.69,0.9,-0.16,1.06,0.61,0.77,0.11,0.06,-0.22
,12/1/1967,4.3,4.57,4.86,2.74,2.61,3.16,1.86,1.02,-0.14,1.23,0.61,0.88,0.12,0.07,-0.21
,1/1/1968,4.6,4.94,5.25,3.11,3.08,3.52,2.04,1.15,-0.11,1.4,0.63,1.01,0.12,0.08,-0.19
,2/1/1968,4.66,4.96,5.3,3.13,3.38,3.78,2.01,1.21,-0.1,1.38,0.62,1,0.19,0.08,-0.18
,3/1/1968,4.62,4.94,5.28,3.11,3.66,4.03,1.98,1.2,-0.1,1.34,0.63,0.96,0.23,0.07,-0.18
,4/1/1968,4.42,4.73,5.05,2.9,3.81,4.13,1.86,1.11,-0.09,1.2,0.64,0.87,0.23,0.06,-0.16
,5/1/1968,4.34,4.62,4.92,2.79,3.99,4.29,1.77,1.11,-0.09,1.11,0.64,0.8,0.3,0.06,-0.16
,6/1/1968,4.44,4.72,5,2.89,4,4.44,1.78,1.2,-0.09,1.15,0.62,0.83,0.35,0.06,-0.16
,7/1/1968,4.3,4.59,4.85,2.76,3.96,4.43,1.71,1.13,-0.09,1.09,0.6,0.78,0.34,0.06,-0.15
,8/1/1968,4.44,4.7,4.98,2.87,4.06,4.52,1.77,1.17,-0.07,1.19,0.57,0.85,0.3,0.06,-0.14
,9/1/1968,4.37,4.64,4.91,2.81,4.11,4.57,1.72,1.14,-0.05,1.15,0.54,0.83,0.29,0.06,-0.12
