code,description,measure,name,frequency,unit,adjustment,source
A130396115K,"Percentage Change from Corresponding Month of Previous Year ;  All groups, services component ;  Australia ;",Percentage Change from Corresponding Month of Previous Year,"All groups, services component",Month,Percent,Original,640106.xlsx
A130395058J,Percentage Change from Corresponding Month of Previous Year ;  Market goods and services excluding 'volatile items' - Goods ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Market goods and services excluding 'volatile items' - Goods,Month,Percent,Original,640106.xlsx
A130396143V,Percentage Change from Corresponding Month of Previous Year ;  Market goods and services excluding 'volatile items' - Total ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Market goods and services excluding 'volatile items' - Total,Month,Percent,Original,640106.xlsx
A130392405K,Percentage Change from Corresponding Month of Previous Year ;  Market goods and services excluding 'volatile items' - Services ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Market goods and services excluding 'volatile items' - Services,Month,Percent,Original,640106.xlsx
A130398643A,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding 'volatile items' and holiday travel ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding 'volatile items' and holiday travel,Month,Percent,Original,640106.xlsx
A130397649W,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Food and non-alcoholic beverages ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Food and non-alcoholic beverages,Month,Percent,Original,640106.xlsx
A130392664C,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Alcohol and tobacco ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Alcohol and tobacco,Month,Percent,Original,640106.xlsx
A130396367F,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Clothing and footwear ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Clothing and footwear,Month,Percent,Original,640106.xlsx
A130390116C,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Housing ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Housing,Month,Percent,Original,640106.xlsx
A130398863C,"Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Furnishings, household equipment and services ;  Australia ;",Percentage Change from Corresponding Month of Previous Year,"All groups CPI excluding Furnishings, household equipment and services",Month,Percent,Original,640106.xlsx
A130394036A,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Health ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Health,Month,Percent,Original,640106.xlsx
A130398891L,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Transport ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Transport,Month,Percent,Original,640106.xlsx
A130392720K,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Communication ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Communication,Month,Percent,Original,640106.xlsx
A130395261R,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Recreation and culture ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Recreation and culture,Month,Percent,Original,640106.xlsx
