Period,Value,id
2013-05,0.37966837130016806,KO0002
2013-06,0.057341346418904315,KO0002
2013-07,0.018735466237607135,KO0002
2013-08,-0.04738083169888441,KO0002
2013-09,0.3031605869189047,KO0002
2013-10,0.11320422922207474,KO0002
2013-11,0.2535981293021017,KO0002
2013-12,0.0667980727113493,KO0002
2014-01,0.28124008273056056,KO0002
2014-02,0.16914380497172754,KO0002
2014-03,0.19500397633804845,KO0002
2014-04,0.14134736658983904,KO0002
2014-05,0.24212286378146874,KO0002
2014-06,-0.03682642837802286,KO0002
2014-07,0.1852835054338975,KO0002
2014-08,0.13951677445869226,KO0002
2014-09,-0.09180157898714958,KO0002
2014-10,0.05513155903400513,KO0002
2014-11,-0.018367060297974636,KO0002
2014-12,0.12967365463583125,KO0002
2015-01,1.3187999136628603,KO0002
2015-02,0.12036386101701435,KO0002
2015-03,0.1510718655247656,KO0002
2015-04,0.06055004939609088,KO0002
2015-05,0.20064972291227168,KO0002
2015-06,-0.04026148776792304,KO0002
2015-07,0.46107371879802184,KO0002
2015-08,0.1994091580502122,KO0002
2015-09,-0.2284956143583705,KO0002
2015-10,0.09920634920634885,KO0002
2015-11,0.060097421082594416,KO0002
2015-12,0.21917115370431173,KO0002
2016-01,0.46682297526048355,KO0002
2016-02,0.2375595206948855,KO0002
2016-03,0.12841661272473548,KO0002
2016-04,0.1772587456337016,KO0002
2016-05,0.236273744470461,KO0002
2016-06,0.019729600631346322,KO0002
2016-07,0.21594460190403897,KO0002
2016-08,0.18543650094791087,KO0002
2016-09,-0.06824668072962226,KO0002
2016-10,-0.03932037830343127,KO0002
2016-11,-0.09730445944267085,KO0002
2016-12,0.12744793285668354,KO0002
2017-01,0.6157316858629969,KO0002
2017-02,0.26227012794668436,KO0002
2017-03,0.01949057784433883,KO0002
2017-04,0.09743389879182107,KO0002
2017-05,0.19365349344755423,KO0002
2017-06,-0.05829055283987916,KO0002
2017-07,0.2609256208494948,KO0002
2017-08,0.14492161985630858,KO0002
2017-09,-0.16407476102154872,KO0002
2017-10,0.18373909049149706,KO0002
2017-11,-0.34642620612358455,KO0002
2017-12,0.16359081846530898,KO0002
2018-01,0.2317154085642814,KO0002
2018-02,0.42365976861660215,KO0002
2018-03,0.20180918383903013,KO0002
2018-04,0.19128199419069514,KO0002
2018-05,0.14242999717160032,KO0002
2018-06,-0.1805582174163045,KO0002
2018-07,0.009094767477102472,KO0002
2018-08,0.17177442986044955,KO0002
2018-09,-0.07565288439230766,KO0002
2018-10,0.07571016131311392,KO0002
2018-11,-0.12306202527815335,KO0002
2018-12,-0.019189011765896602,KO0002
2019-01,0.22930219402803598,KO0002
2019-02,0.47569615915663555,KO0002
2019-03,-0.15146195897487447,KO0002
2019-04,0.15169171421682837,KO0002
2019-05,0.010030593309595659,KO0002
2019-06,-0.06719823479263143,KO0002
2019-07,0.19972299725004028,KO0002
2019-08,0.1322155112833734,KO0002
2019-09,-0.4351348918164466,KO0002
2019-10,0.22806277251994356,KO0002
2019-11,-0.22754382975309628,KO0002
2019-12,0.08640263628507672,KO0002
2020-01,0.22083918891788734,KO0002
2020-02,0.2303685897435903,KO0002
2020-03,-0.3197761566903101,KO0002
2020-04,0.04010025062657352,KO0002
2020-05,0.14029461869926596,KO0002
2020-06,0.09006304413088362,KO0002
2020-07,0.14997000599881183,KO0002
2020-08,0.1896775481681212,KO0002
2020-09,-0.19928258270227595,KO0002
2020-10,-0.658945686900958,KO0002
2020-11,0.6633165829145637,KO0002
2020-12,0.09984025559106602,KO0002
2021-01,0.29922202274086374,KO0002
2021-02,0.13922036595068743,KO0002
2021-03,0.11916583912610079,KO0002
2021-04,0.1884546716921287,KO0002
2021-05,0.10890010890010071,KO0002
2021-06,0.019778481012644455,KO0002
2021-07,0.30650583349811633,KO0002
2021-08,0.2464268112370549,KO0002
2021-09,-0.11799410029499358,KO0002
2021-10,0.2461114392596997,KO0002
2021-11,0.2258666404792331,KO0002
2021-12,0.44091710758378255,KO0002
2022-01,0.6438396254023981,KO0002
2022-02,0.40709508578076203,KO0002
2022-03,0.08688097306690512,KO0002
2022-04,0.3568672839506126,KO0002
2022-05,0.4997597308985968,KO0002
2022-06,0.4972745529310707,KO0002
2022-07,0.40917308973260624,KO0002
2022-08,0.30326004548901775,KO0002
2022-09,-0.1322751322751281,KO0002
2022-10,0.37842951750235443,KO0002
2022-11,0.23562676720074727,KO0002
2022-12,0.28208744710862543,KO0002
2023-01,0.6000937646507332,KO0002
2023-02,0.2889365271693478,KO0002
2023-03,0.19516728624535684,KO0002
2023-04,0.28754289954548984,KO0002
2023-05,0.36071032186459906,KO0002
2023-06,0.09215740484747048,KO0002
2023-07,0.27621765951568733,KO0002
2023-08,0.22954733265998506,KO0002
