,Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing excluding gas and electric utilities,Gas and electric utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services,Final consumption expenditures of nonprofit institutions serving households (NPISHs)
1979-10,7.4591895371853845,6.873616669338567,5.114950456546197,17.27144420511424,9.090083120862769,3.4209618465115277,26.569746680851345,6.625446017047398,17.86067489619394,17.819270150115397,12.533653553300894,17.13601032212242,5.8857998358524455,13.325735678430872,1.9204095360940032,1.2209908498369115,-5.854682010447521
1979-11,6.254984935096197,13.279813678196707,2.151013294929327,21.29838221199907,8.21285168085737,4.985602300058356,20.706976302898617,12.368105848452004,4.618136399280481,7.730058658653682,12.191171037596703,27.324758294497542,4.823845745671451,9.456511129253297,-11.825790346428477,12.077024933392089,13.945190603135504
1979-12,8.374338061133479,5.537338803091707,3.7317506530785582,24.500143912556016,10.126548905104471,6.306409676443248,31.3595523424977,8.386531103097505,5.820930597519047,19.103434998083912,12.843501696272973,22.337624881923634,-3.1825924452685284,10.846116710410069,8.543074888246348,11.808843325241526,11.308193852451097
1980-01,12.73203236501772,13.005858245836578,7.8683008259814,26.865829200989786,6.262441103046834,5.536328324840256,115.38904154927363,11.450824103349433,8.363528644900109,5.590413405632244,15.177734024508794,14.489438056112846,7.809643105698449,11.159995931008005,-7.562455871119922,10.915702769205016,6.278043959424218
1980-02,15.729570560111217,11.583818873402517,9.77082518468495,39.57251236986741,-1.170147559711654,3.284603880054493,70.6072457247193,13.803313911327763,7.70681172513179,29.234177164359565,20.81689942191065,17.19675038526769,17.381130674633294,8.813375689072744,19.896367103234702,12.363991468025247,-0.9900155991361625
1980-03,3.272412729304519,13.697590363760614,8.919290074472496,62.700388881224065,13.12342790887282,7.443185823191523,90.66474355145779,10.909804059817807,9.069754870267799,16.477213829655547,10.727970260033937,10.146908179696101,15.15079104126209,10.796278424119233,22.511577830155073,10.707870315465563,24.235092346620068
1980-04,9.193443502289721,7.237346920966403,6.201697067658296,11.184104524084315,8.628319109166661,2.416542743228134,-2.2059635242032694,9.646735350450243,2.729998294464142,19.70894518257671,12.03258324645413,17.08129552575923,11.051612886973206,7.194679451159258,-8.91204670447655,7.867304754633131,8.760848900121276
1980-05,5.2987947641528255,7.304122573724459,3.5961118774185064,13.570377509547749,9.475139558153067,1.321842526574657,0.7287335528830097,11.287979613504273,12.286778758748419,21.69917300800297,7.740835096271437,16.38153420284676,11.38483037300453,9.535802119960257,19.811860222449297,9.472756886124479,25.059095553148868
1980-06,-2.03740302568739,11.319792106553539,0.7369007718541543,52.69153212536604,8.129095565682709,3.271883544531917,-4.681800282239534,10.625399711478867,17.486699402674954,21.62251088382836,10.72074577132045,9.758819353449999,6.427015654430335,10.11383291404091,10.112753762468941,-12.885107980775635,14.645969796055791
1980-07,6.822102010640418,6.197174598752775,5.922984048164781,-17.03990540798449,17.633540684826478,4.090545147707281,-0.053970180173545934,8.962666207310743,5.515751344079489,18.02289272648303,13.439309007123178,18.636783987635354,9.38996450642553,5.195255413723099,8.21688623492376,35.52632031017309,-24.886233806238454
1980-08,14.103291952078312,5.821132043312938,9.618632970688923,27.363924794722184,23.554944464921633,0.9285349275377941,0.6226082346125983,8.142998204474505,8.851114928005765,11.428528952136908,13.749398381598187,14.4302297998387,5.531140195459239,8.529278753163204,11.173884129009837,8.361949687722902,-9.386086126782367
