,lower,median,upper
1980-04,9.208270713072956,9.61585271208587,10.048355513695146
1980-05,9.041793711171564,9.471641827164163,9.886763570753697
1980-06,8.769604753149467,9.19455085927881,9.646979782446582
1980-07,8.493602611106652,8.9234460551256,9.340699014990303
1980-08,8.523765989204009,8.95225278436373,9.370510414001789
1980-09,8.667628050172144,9.09291705066916,9.539083185914876
1980-10,8.388398668314503,8.810317655607061,9.255820336685451
1980-11,8.298528626975186,8.748830428768313,9.169265249622494
1980-12,8.298371300365481,8.734928197305933,9.163678973937646
1981-01,8.471400857160292,8.888561727450796,9.335636927201648
1981-02,8.358976224149817,8.777375909897055,9.228223851449416
1981-03,7.868207505514193,8.28354065379812,8.71318052771889
1981-04,7.68068986686419,8.104230012673417,8.535845660728874
1981-05,7.4765803766868055,7.909670141544668,8.334146863072206
1981-06,7.275401394471516,7.68083116669991,8.091623193758338
1981-07,7.288281394711364,7.72120528871727,8.130778247085242
1981-08,7.248736985724765,7.688753696107577,8.11620720604601
1981-09,7.1391990525687925,7.554459745032027,7.988143352461937
1981-10,6.852300300542705,7.27241451862513,7.694208603136567
1981-11,6.475258626930282,6.88970239164382,7.307309859605403
1981-12,5.998174445930459,6.416806192909481,6.796462904496836
1982-01,5.958844791427683,6.362624888292385,6.757639869505643
1982-02,5.678090849055227,6.073854070039758,6.4666775877377045
1982-03,5.390224810268448,5.825444637978831,6.214529759900361
1982-04,5.371914090867001,5.769410316785832,6.150620267038096
1982-05,5.4318106203619365,5.820226891626458,6.217135302538396
1982-06,5.465566583569061,5.845186028155311,6.250340240174005
1982-07,5.304976445451105,5.720048424929205,6.13505802539773
1982-08,5.027603592929343,5.414868198932559,5.829766172025433
1982-09,5.006066836129592,5.379186707325938,5.795881595643558
1982-10,5.051959907671676,5.469691363247248,5.905498854828439
1982-11,4.756973207133204,5.169833188727091,5.571654020976748
1982-12,4.6562329206733155,5.058996089217029,5.451920442679947
1983-01,4.640594245633156,5.04326461507636,5.438667076116623
1983-02,4.25479824543991,4.657510678484412,5.047838529368032
1983-03,4.038033926986699,4.434988472270929,4.801302922139809
1983-04,3.91736066512837,4.29986395895828,4.682203693383095
1983-05,3.6054318453405285,3.9994898366176734,4.392839361733953
1983-06,3.5552158459715604,3.9339783910636377,4.329491728004202
1983-07,3.6753643155905715,4.059692928942706,4.423718813328695
1983-08,3.6637274665853026,4.0495824156401135,4.4479811760569605
1983-09,3.70049595241443,4.093164749097039,4.47327857048303
1983-10,3.738272953710357,4.111154271209657,4.489455344233571
1983-11,3.7081960380932997,4.0903239729361305,4.4617396736333985
1983-12,3.514033485297567,3.9060716795267094,4.2675090926427295
1984-01,3.680693129867692,4.044189559116763,4.407070103536033
1984-02,3.6565303468664068,4.031393231553608,4.404915171651883
1984-03,3.526254212940119,3.8865849501080407,4.248062527662342
1984-04,3.506389229892308,3.865539690050687,4.2591872331247504
1984-05,3.266074240668223,3.6397456948133593,4.003516250562777
1984-06,3.1734966343899216,3.5339110397020765,3.895707968196613
1984-07,3.186612447383202,3.5789057149687746,3.9356276739659295
1984-08,3.1422478796182594,3.516845277341631,3.8807483757757097
1984-09,3.131565432980374,3.4885836933927226,3.8403122295802996
1984-10,3.155824911761896,3.5258842389532963,3.88313248875683
1984-11,3.225850070989564,3.5687537051614093,3.9034645983283904
1984-12,3.337604335576117,3.688323658168799,4.035077139996816
1985-01,3.4885267913069478,3.8578643222432745,4.199101588658221
1985-02,3.6339532920645365,4.00995507233574,4.362609582777003
1985-03,3.553463230294181,3.910109332842588,4.283788864108896
1985-04,3.3600076289147296,3.728900276231767,4.07729020793991
1985-05,3.2751194609151293,3.648004071470492,3.991399569240645
1985-06,3.290193095494421,3.644763835782205,4.013502478627426
1985-07,3.1257126190529636,3.4995378080268957,3.851711553467299
1985-08,3.2406181833837047,3.5955500272383616,3.9427907933916346
1985-09,3.278987576900818,3.6471039399216325,3.984666102303247
1985-10,3.302603200637479,3.6659113996862347,4.005337397868498
1985-11,3.239269126225264,3.589177767299519,3.9404166743345312
1985-12,3.122976587740073,3.4612615995080844,3.7958518227782876
1986-01,3.082048250689028,3.4206547476871187,3.769736507119799
1986-02,2.8991614842419176,3.2824079881906747,3.6180792106532604
1986-03,2.8154708631121954,3.1890453689125247,3.5324851861896485
1986-04,2.82473190323587,3.1690390167560207,3.4882242125787277
1986-05,2.931381858852104,3.26314200209963,3.5866486997301
1986-06,3.0467047086640897,3.386969007877582,3.711286321620423
1986-07,3.0342571259828968,3.370128597892217,3.6862883693741986
1986-08,3.098019508121167,3.433023354941538,3.756832375291947
1986-09,3.151867859507779,3.477685132833182,3.78384306352135
1986-10,3.217585044509865,3.5389747495924553,3.8666397920036695
1986-11,3.279428646887446,3.6063072993365077,3.9211610562983124
1986-12,3.3595766129347124,3.6786318950418897,3.9904971184761777
1987-01,3.540459180582814,3.8549724290761507,4.18108827433952
1987-02,3.511625315179648,3.8197343708120792,4.136000893675727
1987-03,3.5807874021778376,3.88213850777783,4.194456774045129
1987-04,3.5589976189347894,3.868920527547039,4.16613105265337
1987-05,3.550351512654254,3.8476901744935335,4.157951310681629
1987-06,3.6410572321460934,3.938122493217493,4.236526470418794
1987-07,3.6106791457164253,3.908540747359364,4.20519282872283
1987-08,3.646992709602622,3.9369006332422227,4.226992351905488
1987-09,3.684723486883682,3.982947847968743,4.2767913519919745
1987-10,3.616437241808494,3.932931983145983,4.233813852076134
1987-11,3.6472021277381144,3.951009490934711,4.2521518393529565
1987-12,3.7243655034797047,4.037637843177382,4.366262295027183
1988-01,4.092984287036217,4.3932762193982065,4.736574844614399
1988-02,4.15014801202344,4.4522333189762096,4.774375466925385
1988-03,4.228703941236945,4.531326168604732,4.859636337907883
1988-04,4.294366824799193,4.592828639968207,4.915898640384852
1988-05,4.199618172980788,4.489924684628775,4.7961143383610265
1988-06,4.200597751309717,4.492646005117913,4.800077402531304
1988-07,4.23598613111478,4.531418919802064,4.8181854744065005
1988-08,4.1776335212961975,4.470592488559799,4.767687425625199
1988-09,4.256578712973402,4.555318902111202,4.865516198142107
1988-10,4.18328773680635,4.4659232568840785,4.753742899878036
1988-11,4.040925324210625,4.319357604814963,4.609105007219887
1988-12,4.106992745527482,4.379620569877689,4.657898299409007
1989-01,4.15020651970901,4.435582781999871,4.736480565058092
1989-02,4.015289600533766,4.313773081400951,4.60873942335399
1989-03,3.8716484895904824,4.171403953992499,4.460870918441005
1989-04,3.7381922023040257,4.021646855242899,4.310123761201809
1989-05,3.6722978726975413,3.944290212607158,4.231645119847312
1989-06,3.643719336959408,3.9359872582764455,4.20962429565754
1989-07,3.6614443829052696,3.9397799197530894,4.213969889470237
1989-08,3.5130907233307664,3.7918365395113898,4.077760349961311
1989-09,3.561526879358303,3.854376674899444,4.137454510427945
1989-10,3.656069876816323,3.936772063801226,4.208180605297027
1989-11,3.766644925091864,4.052639572059958,4.32662863899744
1989-12,3.927444188681524,4.2360590475733115,4.5188403251115865
1990-01,4.000015970251808,4.299054412496102,4.609017989866182
1990-02,4.050108906318497,4.354442729697359,4.648940836095479
1990-03,4.006828101272049,4.320288154518616,4.620296924677608
1990-04,3.903446904849367,4.203978108881149,4.491228440114772
1990-05,3.9392439984564955,4.228403621614807,4.526922274937728
1990-06,3.9086426438612296,4.200879250804903,4.523838701285301
1990-07,3.8868449290079616,4.16978840332686,4.494405741890786
1990-08,3.841886042131993,4.126327077475258,4.4269808337256435
1990-09,3.7424930716916625,4.02535374538366,4.299353835661018
1990-10,3.6541183559943553,3.921266591810462,4.194754677621463
1990-11,3.4930966364168468,3.7791054273115576,4.052716654338996
1990-12,3.466590769850526,3.743671572075699,4.012861168292411
1991-01,3.5502284048797197,3.837928696411511,4.134750353127318
1991-02,3.4105008058461137,3.704451468155813,3.9924618851119265
1991-03,3.267896339503614,3.541413720662396,3.829899247826278
1991-04,3.2290222376571345,3.4984411405480547,3.7747923164067396
1991-05,3.160077244153712,3.4429871020168195,3.718734784320988
1991-06,3.0608296887161024,3.3484844943684524,3.626659266133361
1991-07,3.0235670579767056,3.313160330406074,3.577160782299227
1991-08,3.012312374186483,3.2885907955900997,3.567019499497847
1991-09,3.0277327089527297,3.291887129057658,3.562480734541972
1991-10,2.9464011741239022,3.2218169336867697,3.4830494889056367
1991-11,2.904901847049614,3.177097806352485,3.455922305290186
1991-12,2.8905168027525634,3.153391387230799,3.427745703412214
1992-01,2.8200694716402537,3.07154748700869,3.3277379242411858
1992-02,2.8080084503108256,3.0649851780474657,3.324046269640647
1992-03,2.7994594044199834,3.047250798415047,3.300059124315715
1992-04,2.7686826622465857,3.0071559464465354,3.2573041081385927
1992-05,2.6308295909269956,2.8853415181825692,3.1402786906965767
1992-06,2.581225837715634,2.837347444010924,3.086372721449262
1992-07,2.5949650059295593,2.8507037278957945,3.116947602245327
1992-08,2.5643499139853687,2.8158994606318384,3.0612564066607533
1992-09,2.5056247462677725,2.7648089084883964,3.020592000201018
1992-10,2.457990000285754,2.714951878912836,2.9774204883348006
1992-11,2.3976352760808832,2.6612962840656964,2.910264437558138
1992-12,2.3996927362911133,2.653566853362051,2.9076287000675762
1993-01,2.427952341866849,2.684535587130237,2.936541582697547
1993-02,2.4336018782764057,2.6867722917655965,2.9529170484032066
1993-03,2.448242343013229,2.707833508915658,2.9745024195409906
1993-04,2.4836222030761337,2.751024453795368,3.0101913840648393
1993-05,2.41855892949927,2.682968385836136,2.9505773095237484
1993-06,2.2358720160692966,2.507352313778372,2.77150024844418
1993-07,2.1684561029878466,2.4282554723743948,2.697268872113185
1993-08,2.102388523175775,2.3747041713897072,2.637181667558037
1993-09,2.105220620549881,2.3695274638634016,2.6235048546510678
1993-10,2.12475462912809,2.3825104621645075,2.6301159867302952
1993-11,2.1085426988290985,2.3607222517556927,2.6001569673428593
1993-12,2.067293752352136,2.328839458763177,2.569511570632528
1994-01,2.108244075291608,2.3517764600386872,2.5942679276114355
1994-02,2.1422165172405556,2.39138896443487,2.6446654557957574
1994-03,2.17075063456405,2.4132570254779275,2.666726077844137
1994-04,2.133122365442301,2.373993762706056,2.615885666421043
1994-05,2.135170639022716,2.3806137999601935,2.616207221894564
1994-06,2.1305298166982825,2.3714509492148275,2.61507860999408
1994-07,2.0890918855531675,2.329863951622369,2.5709970540009617
1994-08,1.9981519131259085,2.245400192853518,2.477403701227634
1994-09,1.9822648170649675,2.209373890067494,2.453515857818654
1994-10,1.977678625207595,2.2037225330506898,2.4441191056137717
1994-11,1.9429518180286476,2.1795857045648814,2.4070632878197076
1994-12,1.89253293042376,2.1331604506619115,2.365267276753608
1995-01,1.9399775780527655,2.1810213477342097,2.4093911813042346
1995-02,2.0057917632065854,2.2334255142165844,2.4674088823240177
1995-03,2.015642222823176,2.246490717848263,2.4888441525501497
1995-04,1.9780976369342496,2.2093516705294585,2.4520061202867067
1995-05,1.875654703659557,2.1124323445893234,2.350295103077839
1995-06,1.820318697925781,2.046958057481186,2.285366627360408
1995-07,1.7901515895301578,2.0278912310020836,2.2685972218937307
1995-08,1.8240769575540348,2.063982033168494,2.291482824750454
1995-09,1.7590350946529885,1.9964919864653248,2.2289930768028663
1995-10,1.7791746298958815,2.0109631375793535,2.250141045028588
1995-11,1.6912515729628301,1.9237636407271523,2.159583626625039
1995-12,1.70973937012346,1.9408831892665714,2.174382571270994
1996-01,1.723925261954545,1.9589226603680046,2.182185388943614
1996-02,1.7679305791499589,1.9965916465860207,2.2279004937492575
1996-03,1.8110528548137432,2.056927099776188,2.2975475479043572
1996-04,1.8098855050729166,2.0380604141462504,2.2808396596148808
1996-05,1.7631586091967117,2.008661751040357,2.258378590826927
1996-06,1.740360240536642,1.987092285959258,2.224558094316554
1996-07,1.7761222279903635,2.0167463717476797,2.260384328226974
1996-08,1.7752366517623361,2.009468421462797,2.24861370678497
1996-09,1.7884531894691231,2.031714657064745,2.27406343601756
1996-10,1.7769296243878003,2.008357386339093,2.2458470003865987
1996-11,1.677513260041188,1.9104814693891212,2.1488833038035033
1996-12,1.5801848608906575,1.8173204019670697,2.048226873575939
1997-01,1.548326639438857,1.7808841645482456,2.0188755725802205
1997-02,1.5658123066838288,1.8085783437026408,2.0432720910237174
1997-03,1.4986402780094386,1.7412841470349911,1.9793136173137735
1997-04,1.4181135479221028,1.6634321661187577,1.8950557335888623
1997-05,1.3319840061568933,1.5693387304037438,1.8087540766735068
1997-06,1.304002677280117,1.5500002228359708,1.779816719335746
1997-07,1.2202521723641298,1.4637731627017991,1.7017705674269907
1997-08,1.1846789389786245,1.4282792095951633,1.6708417594247282
1997-09,1.2582228251683218,1.5125569079571144,1.7516562442087635
1997-10,1.274619449318637,1.5333840867967272,1.7595729157196223
1997-11,1.2249841144452378,1.4683801644960477,1.7062958406518214
1997-12,1.211630264545286,1.46311425891296,1.7004830274246672
1998-01,1.227715498363529,1.4825182564914976,1.7177468046637614
1998-02,1.2032307044941446,1.440679900671802,1.6927903894245098
1998-03,1.261256842725743,1.50394034447105,1.761714798248003
1998-04,1.2261766244234082,1.4814951352992574,1.7306896880769305
1998-05,1.1253215017614187,1.3691327689473103,1.6257714414803535
1998-06,1.0033855302839145,1.267595222006293,1.5326465947734147
1998-07,0.9667260513196418,1.2342641400780998,1.4953176852678458
1998-08,0.9686658413437069,1.2308170053811582,1.4848958071308391
1998-09,0.9675922450830803,1.2231823311766528,1.4967019383654727
1998-10,0.944718568148669,1.2171651163298178,1.469188920834833
1998-11,0.9187726576189681,1.1786035316521923,1.434794083381398
1998-12,0.8984256703261344,1.1592615247517437,1.4113101826348544
1999-01,0.9528220680008969,1.210213604719152,1.463267309206178
1999-02,0.9540406388824717,1.2048770191778804,1.4597946309291157
1999-03,1.0337725738805417,1.2841895028827155,1.529948444197361
1999-04,1.1824091458522408,1.4158200435760304,1.6487914362912541
1999-05,1.187281263782106,1.4215484026105965,1.6522028052425501
1999-06,1.207345656121937,1.438699552111665,1.6803004668308816
1999-07,1.3156079257612345,1.5629967392983208,1.7917142700726512
1999-08,1.384254932627995,1.6199366568054034,1.8518022270623549
1999-09,1.4935313715784047,1.7276768648765952,1.9674515893437672
1999-10,1.5111624248870152,1.74253184470758,1.9895656476901593
1999-11,1.5402597292540356,1.775439068424223,2.004779680857079
1999-12,1.564313482685166,1.8111216589692345,2.049500267985238
2000-01,1.6430150125846468,1.8724343137825517,2.1152700002028375
2000-02,1.6589612312820943,1.897827687193276,2.1482057593158346
2000-03,1.7085543969009995,1.9455851330442373,2.1997557625514297
2000-04,1.6649694534047437,1.9094618465938233,2.159889582073083
2000-05,1.741122146759377,1.970882518320941,2.21117678624241
2000-06,1.787556863646349,2.020503430981969,2.2623187908612996
2000-07,1.856850344788749,2.0913715527026007,2.324935929343865
2000-08,1.8464325625254088,2.0774549166694327,2.318216932620154
2000-09,1.8951510108104501,2.1213013487804284,2.3601624802906116
2000-10,1.8580147540285814,2.088320518701982,2.325606696462027
2000-11,1.8364274701002719,2.082271059823834,2.315445358674838
2000-12,1.8369063436782735,2.0711806282091016,2.3144492878526055
2001-01,1.8275486738685391,2.0635329745150948,2.3205824248892366
2001-02,1.7355686540899886,1.9772301370536662,2.210776982708287
2001-03,1.655875177352406,1.8998407160042898,2.133517201172706
2001-04,1.6463577701461483,1.8811922190649817,2.113315189852057
2001-05,1.6143012422326906,1.8535549814665302,2.0834324938800473
2001-06,1.6166836586717361,1.857863733647918,2.0917762986912667
2001-07,1.529168482070446,1.7665234832147427,2.0093721292704982
2001-08,1.408726385546652,1.6608189553854702,1.8931245468351805
2001-09,1.3672391300093378,1.6196293889301092,1.8654694643514376
2001-10,1.300388953186818,1.5786670410641777,1.8221740444676546
2001-11,1.353401367693876,1.6070144008257858,1.8515581665223884
2001-12,1.3644280755372724,1.6123692461333556,1.8586904592543898
2002-01,1.4422913000371362,1.6751669207905218,1.9166935314471407
2002-02,1.5183778476906642,1.7610199372996407,2.0006649800063654
2002-03,1.589352756089005,1.8139387114383434,2.044192040570022
2002-04,1.6199584934404792,1.8530449047044613,2.078214422916926
2002-05,1.598534088570694,1.821675442989318,2.0480810007412567
2002-06,1.567806456751541,1.7978754703350215,2.0127261266973706
2002-07,1.5789834807121177,1.812368593517093,2.039296896262085
2002-08,1.5553252791290477,1.776464654141373,2.003337911821493
2002-09,1.5382936700584582,1.7593851654306512,1.988754008909526
2002-10,1.483036851483125,1.7135528044265613,1.949143174263514
2002-11,1.4616955461869354,1.6852639340505693,1.903866338910745
2002-12,1.4020042635842913,1.6301156950307583,1.853072620529607
2003-01,1.3845871923473454,1.6286786322245068,1.855091381547875
2003-02,1.4325460654778694,1.6684684665882308,1.9073285636153225
2003-03,1.3817544718547332,1.626082726632465,1.853935734631755
2003-04,1.3159807404898078,1.556555364374418,1.7968418965838993
2003-05,1.3668664525412333,1.6065021116011216,1.8404429487700333
2003-06,1.427568768792466,1.6599223163978576,1.8994168857884839
2003-07,1.5732847109288735,1.7896327931519016,2.0166195012424666
2003-08,1.6277728009202936,1.8547784369146534,2.083560236552624
2003-09,1.712556563556658,1.9397604028074074,2.16406567674155
2003-10,1.7820329591330757,2.002303857071649,2.2425396689926664
2003-11,1.813731601376611,2.0394161896747702,2.258996355233561
2003-12,1.8770406096424628,2.094062014702719,2.3082915453380415
2004-01,1.9253086442094758,2.15208803052575,2.3668848501844852
2004-02,1.9427848439998743,2.168637206941414,2.3758358713910877
2004-03,1.9571524067679746,2.1780597456581523,2.413108119365868
2004-04,1.9734795023835454,2.1981026208752277,2.441416554509299
2004-05,1.8769888800737724,2.0900592077795386,2.313764597604589
2004-06,1.793862999676007,2.0123215596079187,2.2200124807895487
2004-07,1.6895411524443684,1.9129108557857095,2.1363141784986706
2004-08,1.6552808587440047,1.8955283758020083,2.118059975005577
2004-09,1.7741493757926268,1.9933763381213698,2.201214058316811
2004-10,1.8929215410706783,2.11124531238126,2.3197235376618477
2004-11,1.9778215450578922,2.202690759741026,2.426965568656625
2004-12,2.0176660116238794,2.231930632204747,2.4527565721644744
2005-01,2.0859627666506237,2.3151502581895067,2.5502924406235477
2005-02,2.0514647866632445,2.277203413324048,2.5137259957407236
2005-03,2.0760951763271778,2.2956975978997978,2.509718802657995
2005-04,1.9830533141285736,2.2016952266487184,2.411005753488423
2005-05,1.8980903097579178,2.129571179776782,2.342917865225265
2005-06,1.788107111258559,2.034491481573407,2.2589725389128765
2005-07,1.8604516370838007,2.1089370395528206,2.3350259163592777
2005-08,1.9320429400762915,2.172083201660636,2.402273966793808
