,headline_yoy,official_core_yoy
2023-06,2.7261805748082457,3.3495099438576315
2023-07,2.3544559919065566,3.212661106899173
2023-08,3.3600294577925016,3.1368102796674124
2023-09,3.703363352324951,3.140964995269635
2023-10,3.765115426896304,3.1102733270499616
2023-11,3.3098010452003335,2.867889045604155
2023-12,3.1759106717920593,2.766057196436922
2024-01,2.816389570273481,2.535185012582719
2024-02,3.1269826882987406,2.546468401487001
2024-03,3.1035106768005916,2.4209257026249986
2024-04,2.9249796876410716,2.3492415834258207
2024-05,2.672545667236559,2.2117777163394914
2024-06,2.4109391867578323,2.15449774422245
2024-07,2.5518914547578264,2.1669268203103442
2024-08,2.012825080156766,2.052033711982415
2024-09,1.5950376606114425,1.9812878370941256
2024-10,1.2536417409728884,1.8190127970749481
2024-11,1.5264465743698885,1.8647166361974277
2024-12,1.9338241816730273,1.8156934306569505
2025-01,2.2444110630025493,1.936187619307339
2025-02,2.0214448936544116,1.7672648178357786
2025-03,2.0535322509872778,1.901829378735731
2025-04,2.0787650206122166,2.051328393276708
2025-05,1.9018404907975572,1.9745739789018169
2025-06,2.169711876317648,2.0009013068949866
2025-07,2.0941032156313044,1.9771726431203396
2025-08,1.6675397241138423,1.292639138240581
2025-09,2.1020497165285645,1.9607843137254832
2025-10,2.3803295840962635,2.1545919741448927
2025-11,2.447552447552437,1.9741564967695746
2025-12,2.3148551039944287,2.0073483287032845
2026-01,2.0050125313283207,2.0242553950419184
2026-02,1.9986216402481105,2.297622228159235
2026-03,2.158397110671584,2.1862779950231115
2026-04,2.5691699604743157,2.169485522004777
2026-05,3.1392448610991774,2.537577365163579
2026-06,3.1639583870690435,2.4829901917469366
2026-07,2.7892207346378317,2.6086190182427194
2026-08,3.091455560326306,3.367600141793692
